name,group,trt,location,experiment,animal_no,day,treatment_group
T34,Ctrl_7,Ctrl,cc,1,34,7,A
T35,Ctrl_7,Ctrl,cc,1,35,7,A
T36,Ctrl_7,Ctrl,cc,1,36,7,A
T38,Ctrl_7,Ctrl,cc,1,38,7,A
T39,Ctrl_7,Ctrl,cc,1,39,7,A
T40,Ctrl_7,Ctrl,cc,1,40,7,A
T41,Sub_7,Sub,cc,1,41,7,B
T44,Sub_7,Sub,cc,1,44,7,B
T45,Sub_7,Sub,cc,1,45,7,B
T46,Sub_7,Sub,cc,1,46,7,B
T47,Sub_7,Sub,cc,1,47,7,B
T49,Sub_7,Sub,cc,1,49,7,B
T51,Ther_7,Ther,cc,1,51,7,C
T52,Ther_7,Ther,cc,1,52,7,C
T53,Ther_7,Ther,cc,1,53,7,C
T55,Ther_7,Ther,cc,1,55,7,C
T56,Ther_7,Ther,cc,1,56,7,C
T57,Ther_7,Ther,cc,1,57,7,C
T91,Ctrl_35,Ctrl,cc,1,91,35,A
T92,Ctrl_35,Ctrl,cc,1,92,35,A
T93,Ctrl_35,Ctrl,cc,1,93,35,A
T94,Ctrl_35,Ctrl,cc,1,94,35,A
T95,Ctrl_35,Ctrl,cc,1,95,35,A
T96,Ctrl_35,Ctrl,cc,1,96,35,A
T101,Sub_35,Sub,cc,1,101,35,B
T102,Sub_35,Sub,cc,1,102,35,B
T103,Sub_35,Sub,cc,1,103,35,B
T104,Sub_35,Sub,cc,1,104,35,B
T105,Sub_35,Sub,cc,1,105,35,B
T106,Sub_35,Sub,cc,1,106,35,B
T111,Ther_35,Ther,cc,1,111,35,C
T112,Ther_35,Ther,cc,1,112,35,C
T113,Ther_35,Ther,cc,1,113,35,C
T114,Ther_35,Ther,cc,1,114,35,C
T115,Ther_35,Ther,cc,1,115,35,C
T116,Ther_35,Ther,cc,1,116,35,C
T181,Ctrl_78,Ctrl,cc,1,181,78,A
T182,Ctrl_78,Ctrl,cc,1,182,78,A
T183,Ctrl_78,Ctrl,cc,1,183,78,A
T184,Ctrl_78,Ctrl,cc,1,184,78,A
T185,Ctrl_78,Ctrl,cc,1,185,78,A
T186,Ctrl_78,Ctrl,cc,1,186,78,A
T191,Sub_78,Sub,cc,1,191,78,B
T192,Sub_78,Sub,cc,1,192,78,B
T193,Sub_78,Sub,cc,1,193,78,B
T194,Sub_78,Sub,cc,1,194,78,B
T195,Sub_78,Sub,cc,1,195,78,B
T196,Sub_78,Sub,cc,1,196,78,B
T197,Sub_78,Sub,cc,1,197,78,B
T201,Ther_78,Ther,cc,1,201,78,C
T202,Ther_78,Ther,cc,1,202,78,C
T203,Ther_78,Ther,cc,1,203,78,C
T204,Ther_78,Ther,cc,1,204,78,C
T205,Ther_78,Ther,cc,1,205,78,C
T206,Ther_78,Ther,cc,1,206,78,C
T211,Ctrl_84,Ctrl,cc,2,211,84,A
T213,Ctrl_84,Ctrl,cc,2,213,84,A
T214,Ctrl_84,Ctrl,cc,2,214,84,A
T215,Ctrl_84,Ctrl,cc,2,215,84,A
T216,Ctrl_84,Ctrl,cc,2,216,84,A
T217,Ctrl_84,Ctrl,cc,2,217,84,A
T221,Sub_84,Sub,cc,2,221,84,B
T222,Sub_84,Sub,cc,2,222,84,B
T223,Sub_84,Sub,cc,2,223,84,B
T224,Sub_84,Sub,cc,2,224,84,B
T225,Sub_84,Sub,cc,2,225,84,B
T226,Sub_84,Sub,cc,2,226,84,B
T231,Ther_84,Ther,cc,2,231,84,C
T232,Ther_84,Ther,cc,2,232,84,C
T233,Ther_84,Ther,cc,2,233,84,C
T234,Ther_84,Ther,cc,2,234,84,C
T235,Ther_84,Ther,cc,2,235,84,C
T236,Ther_84,Ther,cc,2,236,84,C
