"pair","day","F.Model","R2","p.value","p.adjusted","BH.corr"
"Ctrl_Sub","7",1.53889349770835,0.133365777057738,0.1503,0.1503,0.18036
"Ctrl_Ther","7",3.60317433837143,0.264877465269831,0.0102,0.0102,0.0333
"Sub_Ther","7",2.54421044672524,0.202819496494451,0.0201,0.0201,0.0454
"Ctrl_Sub","35",1.51880176401412,0.131854145520501,0.1676,0.1676,0.182836363636364
"Ctrl_Ther","35",1.57235453797298,0.135871618244457,0.1331,0.1331,0.177466666666667
"Sub_Ther","35",3.57059247132924,0.263112497031568,0.002,0.002,0.015
"Ctrl_Sub","78",2.60015853156473,0.206359191834853,0.0352,0.0352,0.0528
"Ctrl_Ther","78",2.92002696285864,0.2260078072014,0.0111,0.0111,0.0333
"Sub_Ther","78",2.05560039403443,0.170509997581839,0.0311,0.0311,0.0528
"Ctrl_Sub","84",2.7969087864378,0.218561281721565,0.0227,0.0227,0.0454
"Ctrl_Ther","84",3.4596493932889,0.257038596786475,0.0025,0.0025,0.015
"Sub_Ther","84",0.615607862941353,0.0579908254797556,0.7868,0.7868,0.7868
