"d35_cc_ctrl"	"d35_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	0	0	0	0
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0036
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	0	0	0	0.0078
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	2.88188347910571	2.70624375590935	2.95873648949601	0.0167333333333333
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	-1.34188234706475	-1.34188234706475	-1.40584162388088	0.00538
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00273333333333333
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0	0	0	0.0026
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	0	0	0	0.00307777777777778
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	0	0	0	0
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	0	0	0	0.00032
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	-0.2000008000048	0	-0.128037089829937	0.00695714285714286
"1,2-dilinoleoyl-GPC (18:2/18:2)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00255333333333333
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0.000666666666666667
"1-linoleoyl-GPE (18:2)*"	2.77960539404899	2.62289584149014	2.77107495422941	0.01432
"1-linoleoyl-GPG (18:2)*"	1.0001000150025	1.0001000150025	1.0001000150025	0.00296666666666667
"1-linoleoyl-GPC (18:2)"	0	0	0	0
"1-linoleoylglycerol (18:2)"	2.75507765716737	2.65019826502161	2.77984186897853	0.0325333333333333
"1-methyl-beta-carboline-3-carboxylic acid"	0	0	0	0.0032
"1-methyladenine"	0.926082753125513	-0.302616537560804	0.374193119987611	0.0142666666666667
"1-methylguanidine"	1.0001000150025	0	1.0001000150025	0.00140952380952381
"1-methylhistamine"	0	0	0	0
"1-methylimidazoleacetate"	0.468531570618058	-0.218218929376225	0.178914639452158	0.0188333333333333
"1-methylnicotinamide"	0	0	0	0.00256666666666667
"1-methylxanthine"	5.13551722401482	5.18660156732102	5.37795965171997	0.0600666666666667
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00545714285714286
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	1.0001000150025	1.0001000150025	1.0001000150025	0.00106666666666667
"1-oleoyl-GPE (18:1)"	1.96191607965738	2.00080048032022	1.98855334571449	0.0171
"1-oleoyl-GPG (18:1)*"	1.41449648996668	1.34188234706475	1.40868513468813	0.00196666666666667
"1-oleoyl-GPS (18:1)"	0	-1.0001000150025	-0.447222540040205	0.00741333333333333
"1-oleoylglycerol (18:1)"	2.20106557366892	1.95149387124966	2.19839743958272	0.0189866666666667
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)"	0	0	0	0
"1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*"	0.447222540040205	-0.2000008000048	0	0.00343333333333333
"1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*"	2.52095961202688	2.01448339657474	2.38002192343556	0.0348428571428571
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00786666666666667
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	0	0	0	0.00247619047619048
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	0	0	0	0.00116666666666667
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	0	0	0	0.00323333333333333
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	1.34188234706475	1.38701725030211	1.36463613639563	0.001
"1-palmitoyl-GPA (16:0)"	0	0	0	0
"1-palmitoyl-GPE (16:0)"	0	0	0	0
"1-palmitoyl-GPG (16:0)*"	0	0	0	0.000333333333333333
"1-palmitoyl-GPI* (16:0)"	-1.40027448069996	-1.34188234706475	-1.41032841017465	0.0057
"1-palmitoyl-GPC (16:0)"	-0.447222540040205	0.727645398532215	0.128037089829937	0.0076
"1-palmitoylglycerol (16:0)"	1.26511349842314	1.41449648996668	1.38701725030211	0.0138
