"pairs","F.Model","R2","p.value","p.adjusted","FDR.q.value","BF.corr","day","location","pair"
"d14_cc_ctrl vs d14_cc_sub",5.07764574351886,0.220024425366044,1e-04,1e-04,6e-04,0.0072,"14","cc","ctrl_sub"
"d14_cc_ctrl vs d14_cc_ther",8.4948021969632,0.320621461289372,1e-04,1e-04,6e-04,0.0072,"14","cc","ctrl_ther"
"d14_cc_sub vs d14_cc_ther",3.31107291610937,0.15536866347102,5e-04,5e-04,0.00171428571428571,0.036,"14","cc","sub_ther"
"d2_cc_ctrl vs d2_cc_sub",2.86047707067634,0.137124240303081,0.0028,0.0028,0.0072,0.2016,"2","cc","ctrl_sub"
"d2_cc_ctrl vs d2_cc_ther",2.66034591648891,0.128765797399631,4e-04,4e-04,0.00144,0.0288,"2","cc","ctrl_ther"
"d2_cc_sub vs d2_cc_ther",1.42833766700757,0.0735182644798847,0.1082,0.1082,0.144266666666667,7.7904,"2","cc","sub_ther"
"d35_cc_ctrl vs d35_cc_sub",3.99654965665819,0.19034316218669,2e-04,2e-04,9e-04,0.0144,"35","cc","ctrl_sub"
"d35_cc_ctrl vs d35_cc_ther",6.59175520778195,0.279409274542133,1e-04,1e-04,6e-04,0.0072,"35","cc","ctrl_ther"
"d35_cc_sub vs d35_cc_ther",2.33993922187691,0.127587076138491,1e-04,1e-04,6e-04,0.0072,"35","cc","sub_ther"
"d42_cc_ctrl vs d42_cc_sub",3.61870632491413,0.175505983153829,1e-04,1e-04,6e-04,0.0072,"42","cc","ctrl_sub"
"d42_cc_ctrl vs d42_cc_ther",4.15044722161503,0.196234489896432,1e-04,1e-04,6e-04,0.0072,"42","cc","ctrl_ther"
"d42_cc_sub vs d42_cc_ther",2.94206346208487,0.155319058452835,2e-04,2e-04,9e-04,0.0144,"42","cc","sub_ther"
"d56_cc_ctrl vs d56_cc_sub",3.96405360765994,0.233673725592922,2e-04,2e-04,9e-04,0.0144,"56","cc","ctrl_sub"
"d56_cc_ctrl vs d56_cc_ther",3.65141472836391,0.267475188544179,0.0036,0.0036,0.00893793103448276,0.2592,"56","cc","ctrl_ther"
"d56_cc_sub vs d56_cc_ther",1.39341782686993,0.134067334738294,0.1612,0.1612,0.207257142857143,11.6064,"56","cc","sub_ther"
"d78_cc_ctrl vs d78_cc_sub",4.30239096399004,0.177035706913163,1e-04,1e-04,6e-04,0.0072,"78","cc","ctrl_sub"
"d78_cc_ctrl vs d78_cc_ther",5.62578898484534,0.248644985976554,1e-04,1e-04,6e-04,0.0072,"78","cc","ctrl_ther"
"d78_cc_sub vs d78_cc_ther",3.27034574216633,0.146847551449294,0.0012,0.0012,0.00332307692307692,0.0864,"78","cc","sub_ther"
"d7_cc_ctrl vs d7_cc_sub",3.27146369077667,0.153795890040006,1e-04,1e-04,6e-04,0.0072,"7","cc","ctrl_sub"
"d7_cc_ctrl vs d7_cc_ther",3.57745451815112,0.165795947577678,4e-04,4e-04,0.00144,0.0288,"7","cc","ctrl_ther"
"d7_cc_sub vs d7_cc_ther",1.63721138062038,0.0833729061060123,0.0782,0.0782,0.1104,5.6304,"7","cc","sub_ther"
"d84_cc_ctrl vs d84_cc_sub",4.36114087114751,0.134764744188479,1e-04,1e-04,6e-04,0.0072,"84","cc","ctrl_sub"
"d84_cc_ctrl vs d84_cc_ther",3.1926027806892,0.131966072837668,3e-04,3e-04,0.00127058823529412,0.0216,"84","cc","ctrl_ther"
"d84_cc_sub vs d84_cc_ther",1.63034298872207,0.0875100898415559,0.0592,0.0592,0.09472,4.2624,"84","cc","sub_ther"
"d14_ic_ctrl vs d14_ic_sub",1.88507013882945,0.0947982645104421,0.0757,0.0757,0.1104,5.4504,"14","ic","ctrl_sub"
"d14_ic_ctrl vs d14_ic_ther",2.8314324183842,0.135921158061382,0.0168,0.0168,0.0334702702702703,1.2096,"14","ic","ctrl_ther"
"d14_ic_sub vs d14_ic_ther",2.91622293982023,0.13942397478793,0.0163,0.0163,0.0334702702702703,1.1736,"14","ic","sub_ther"
"d2_ic_ctrl vs d2_ic_sub",4.38698370635755,0.195961357005487,7e-04,7e-04,0.00219130434782609,0.0504,"2","ic","ctrl_sub"
"d2_ic_ctrl vs d2_ic_ther",6.07175677010297,0.252235714580004,1e-04,1e-04,6e-04,0.0072,"2","ic","ctrl_ther"
"d2_ic_sub vs d2_ic_ther",1.47775622597589,0.0758689147164254,0.1954,0.1954,0.24,14.0688,"2","ic","sub_ther"
"d35_ic_ctrl vs d35_ic_sub",1.09801744910105,0.0574937923283098,0.3502,0.3502,0.393975,25.2144,"35","ic","ctrl_sub"
"d35_ic_ctrl vs d35_ic_ther",6.21823669127883,0.256758440779384,7e-04,7e-04,0.00219130434782609,0.0504,"35","ic","ctrl_ther"
"d35_ic_sub vs d35_ic_ther",5.44373117862576,0.232204128990736,0.001,0.001,0.00288,0.072,"35","ic","sub_ther"
"d42_ic_ctrl vs d42_ic_sub",6.70329602759131,0.295256513391042,8e-04,8e-04,0.0024,0.0576,"42","ic","ctrl_sub"
"d42_ic_ctrl vs d42_ic_ther",5.43592844423862,0.242286761510622,4e-04,4e-04,0.00144,0.0288,"42","ic","ctrl_ther"
"d42_ic_sub vs d42_ic_ther",0.859025238562591,0.0481003429407623,0.547,0.547,0.587820895522388,39.384,"42","ic","sub_ther"
"d56_ic_ctrl vs d56_ic_sub",3.38817005619117,0.158413274594776,0.0172,0.0172,0.0334702702702703,1.2384,"56","ic","ctrl_sub"
"d56_ic_ctrl vs d56_ic_ther",1.14636883720131,0.0756860505328306,0.3048,0.3048,0.348342857142857,21.9456,"56","ic","ctrl_ther"
"d56_ic_sub vs d56_ic_ther",2.72540142834049,0.145545687699686,0.0528,0.0528,0.0864,3.8016,"56","ic","sub_ther"
"d78_ic_ctrl vs d78_ic_sub",2.27333711185357,0.0976798944185667,0.0407,0.0407,0.0751384615384615,2.9304,"78","ic","ctrl_sub"
"d78_ic_ctrl vs d78_ic_ther",1.07840389255421,0.0631443019698328,0.3695,0.3695,0.409292307692308,26.604,"78","ic","ctrl_ther"
"d78_ic_sub vs d78_ic_ther",2.38853843405892,0.111673756550631,0.0471,0.0471,0.0819428571428571,3.3912,"78","ic","sub_ther"
"d7_ic_ctrl vs d7_ic_sub",2.0370306109406,0.101663297845557,0.0763,0.0763,0.1104,5.4936,"7","ic","ctrl_sub"
"d7_ic_ctrl vs d7_ic_ther",6.93634150079441,0.278161954935267,2e-04,2e-04,9e-04,0.0144,"7","ic","ctrl_ther"
"d7_ic_sub vs d7_ic_ther",2.30992986292757,0.113734014766046,0.0522,0.0522,0.0864,3.7584,"7","ic","sub_ther"
"d84_ic_ctrl vs d84_ic_sub",1.4223222941385,0.063433317721524,0.1989,0.1989,0.24,14.3208,"84","ic","ctrl_sub"
"d84_ic_ctrl vs d84_ic_ther",2.90057808031206,0.171625968444891,0.0478,0.0478,0.0819428571428571,3.4416,"84","ic","ctrl_ther"
"d84_ic_sub vs d84_ic_ther",3.77379528112385,0.18166133005811,0.0052,0.0052,0.0120774193548387,0.3744,"84","ic","sub_ther"
"d14_jc_ctrl vs d14_jc_sub",2.86773512593799,0.151991487414705,0.0172,0.0172,0.0334702702702703,1.2384,"14","jc","ctrl_sub"
"d14_jc_ctrl vs d14_jc_ther",2.97063303262695,0.17504550519216,0.0101,0.0101,0.0226909090909091,0.7272,"14","jc","ctrl_ther"
"d14_jc_sub vs d14_jc_ther",3.57493734790406,0.20341110054258,0.0041,0.0041,0.00984,0.2952,"14","jc","sub_ther"
"d2_jc_ctrl vs d2_jc_sub",2.17290344754217,0.119568315201501,0.077,0.077,0.1104,5.544,"2","jc","ctrl_sub"
"d2_jc_ctrl vs d2_jc_ther",2.42757575337593,0.118838171630559,0.0633,0.0633,0.0990782608695652,4.5576,"2","jc","ctrl_ther"
"d2_jc_sub vs d2_jc_ther",1.90436564971176,0.106363201409619,0.134,0.134,0.175418181818182,9.648,"2","jc","sub_ther"
"d35_jc_ctrl vs d35_jc_sub",1.34450567232737,0.0732920088632072,0.2412,0.2412,0.284695081967213,17.3664,"35","jc","ctrl_sub"
"d35_jc_ctrl vs d35_jc_ther",4.14590635938476,0.187208700881545,0.0104,0.0104,0.0226909090909091,0.7488,"35","jc","ctrl_ther"
"d35_jc_sub vs d35_jc_ther",1.53795637401034,0.0829625630237488,0.1881,0.1881,0.2376,13.5432,"35","jc","sub_ther"
"d42_jc_ctrl vs d42_jc_sub",3.61708927004358,0.19428865692038,0.0186,0.0186,0.0352421052631579,1.3392,"42","jc","ctrl_sub"
"d42_jc_ctrl vs d42_jc_ther",5.23782263752323,0.258813545870874,0.0022,0.0022,0.00586666666666667,0.1584,"42","jc","ctrl_ther"
"d42_jc_sub vs d42_jc_ther",2.087657694255,0.129767660024276,0.0827,0.0827,0.114507692307692,5.9544,"42","jc","sub_ther"
"d56_jc_ctrl vs d56_jc_sub",0.99720761409641,0.499300927483983,0.666666666666667,0.666666666666667,0.666666666666667,48,"56","jc","ctrl_sub"
"d56_jc_ctrl vs d56_jc_ther",0.271879910203283,0.119671778856901,0.666666666666667,0.666666666666667,0.666666666666667,48,"56","jc","ctrl_ther"
"d56_jc_sub vs d56_jc_ther",1.33200099584546,0.571183716567217,0.666666666666667,0.666666666666667,0.666666666666667,48,"56","jc","sub_ther"
"d78_jc_ctrl vs d78_jc_sub",1.40290479151852,0.412266835973535,0.666666666666667,0.666666666666667,0.666666666666667,48,"78","jc","ctrl_sub"
"d78_jc_ctrl vs d78_jc_ther",2.55219046572497,0.337940426331657,0.0952380952380952,0.0952380952380952,0.129380053908356,6.85714285714286,"78","jc","ctrl_ther"
"d78_jc_sub vs d78_jc_ther",1.71613186201678,0.255523848738349,0.285714285714286,0.285714285714286,0.331797235023041,20.5714285714286,"78","jc","sub_ther"
"d7_jc_ctrl vs d7_jc_sub",2.88127706813611,0.137983757350397,0.0418,0.0418,0.07524,3.0096,"7","jc","ctrl_sub"
