"d78_cc_ctrl"	"d78_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	4.21339815478392	4.46365119520907	4.78128174564223	0.0571
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	-1.38701725030211	-1.0001000150025	-1.41449648996668	0.00336444444444444
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	1.70610212367578	1.0001000150025	1.67378877955733	0.00650396825396825
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	0	0	0	0.00913047619047619
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	1.91306553831204	1.96374775856094	2.14826664644581	0.0205571428571429
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	3.46639309394739	3.45390991747245	3.6658657007106	0.032865873015873
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	1.34188234706475	1.0001000150025	1.3782589832074	0.00356095238095238
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	1.41449648996668	1.41449648996668	1.41449648996668	0.00831015873015873
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	0	0	0	0.00423333333333333
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	1.0001000150025	0	1.0001000150025	0.00311428571428571
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00175238095238095
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	1.61666643932296	0.206285127062678	0.815165675594894	0.0324738095238095
"1,2-dilinoleoyl-GPC (18:2/18:2)"	2.36657391193465	1.87729097588047	2.39114862871771	0.0112619047619048
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0.00293952380952381
"1-linoleoyl-GPE (18:2)*"	1.0001000150025	-0.447222540040205	0.318002579774592	0.00495
