"d78_cc_ctrl"	"d78_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	0	0	0	0
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	0	0	0	0.00035
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	-1.34188234706475	-1.0001000150025	-1.40868513468813	0.0015
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0	0	0	0
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	-1.41449648996668	0	-0.836867896104842	0.00343333333333333
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	0	0	0	0.00116666666666667
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	9e-04
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	0	0	0	0.000666666666666667
"1,2-dilinoleoyl-GPC (18:2/18:2)"	0	0	0	0
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	3e-04
"1-linoleoyl-GPE (18:2)*"	1.34188234706475	1.40027448069996	1.41449648996668	0.0090515873015873
"1-linoleoyl-GPG (18:2)*"	0	0	0	0.00423333333333333
"1-linoleoyl-GPC (18:2)"	0	0	0	0
"1-linoleoylglycerol (18:2)"	0	0	0	0.00185333333333333
"1-methyl-beta-carboline-3-carboxylic acid"	0.277352231599525	0.447222540040205	0.343001205617056	0.00150952380952381
"1-methyladenine"	-1.34188234706475	-1.50789946626551	-1.56931542168781	0.00190619047619048
"1-methylguanidine"	-1.38701725030211	-1.38701725030211	-1.38701725030211	0.0100833333333333
"1-methylhistamine"	3.14696110735507	3.03768404990195	3.21903114859827	0.0298
"1-methylimidazoleacetate"	0.262614676861393	0	0.0634361734971954	0.0159333333333333
"1-methylnicotinamide"	0	0	0	0.006
"1-methylxanthine"	0	0	0	0.000342857142857143
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	0	0	0	0.000692857142857143
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00173666666666667
"1-oleoyl-GPE (18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0034
"1-oleoyl-GPG (18:1)*"	0	0	0	0.00070952380952381
"1-oleoyl-GPS (18:1)"	0	0	0	0.00103333333333333
"1-oleoylglycerol (18:1)"	0	0	0	0
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000857142857142857
"1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*"	1.46185076005934	1.84453614039677	1.96191607965738	0.00626190476190476
"1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*"	-1.46185076005934	-1.66712982262021	-1.56708359861203	0.0209771428571429
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	0	0	0	0.000666666666666667
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0012
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00185238095238095
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	-1.41449648996668	-1.0001000150025	-1.3782589832074	0.00157619047619048
"1-palmitoyl-GPA (16:0)"	0	0	0	0.00138666666666667
"1-palmitoyl-GPE (16:0)"	0	0	0	0
"1-palmitoyl-GPG (16:0)*"	0	0	0	0.00258333333333333
"1-palmitoyl-GPI* (16:0)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00123333333333333
"1-palmitoyl-GPC (16:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00226666666666667
"1-palmitoylglycerol (16:0)"	0	0	0	0.00298666666666667
"1-pentadecanoylglycerol (15:0)"	0	0	0	0.000857142857142857
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	0	0	0	0.00116666666666667
