diff	lwr	upr	p adj	location	day	ad_metric	q.value
sub-ctrl	-35.4	-72.1335831748852	1.33358317488527	0.060551755290331	cc	14	sobs	0.259507522672847
ther-ctrl	-32.6	-69.3335831748852	4.13358317488525	0.0892287098837622	cc	14	sobs	0.300208743534153
ther-sub	2.79999999999998	-33.9335831748853	39.5335831748852	0.980515814729719	cc	14	sobs	0.999999984904248
sub-ctrl1	-37.8660302	-77.0057302870452	1.27366988704527	0.0593736529625686	cc	14	chao	0.259507522672847
ther-ctrl1	-37.8634181	-77.0031181870452	1.27628198704526	0.0593943722806072	cc	14	chao	0.259507522672847
ther-sub1	0.00261209999999323	-39.1370879870453	39.1423121870452	0.999999984904248	cc	14	chao	0.999999984904248
sub-ctrl2	-41.7620657999999	-79.9909262601348	-3.53320533986501	0.0301631821920089	cc	14	ace	0.199329027956618
ther-ctrl2	-38.7241061999999	-76.9529666601348	-0.495245739865013	0.0466510416727881	cc	14	ace	0.249739573167259
ther-sub2	3.03795959999999	-35.1909008601349	41.2668200601349	0.978842039737926	cc	14	ace	0.999999984904248
sub-ctrl3	4.0993648	-6.08449933416983	14.2832289341698	0.584395812013572	cc	14	invsimpson	0.97399302002262
ther-ctrl3	9.8371444	-0.346719734169829	20.0210085341698	0.0598422405344611	cc	14	invsimpson	0.259507522672847
ther-sub3	5.7377796	-4.44608453416983	15.9216437341698	0.356580504462975	cc	14	invsimpson	0.737752767854431
sub-ctrl4	0.0330750999999996	-0.330462189628189	0.396612389628188	0.972366060627329	cc	14	shannon	0.999999984904248
ther-ctrl4	0.121446499999999	-0.242090789628189	0.484983789628188	0.6890106043151	cc	14	shannon	0.999999984904248
ther-sub4	0.0883713999999998	-0.275165889628189	0.451908689628188	0.819838015124613	cc	14	shannon	0.999999984904248
sub-ctrl5	-86.8	-138.173585938862	-35.4264140611379	0.000759553983501027	cc	2	sobs	0.0195313881471693
ther-ctrl5	-68.3	-119.673585938862	-16.926414061138	0.00748943224509135	cc	2	sobs	0.0869740518784802
ther-sub5	18.5	-32.8735859388621	69.873585938862	0.64935587773817	cc	2	sobs	0.999999984904248
sub-ctrl6	-91.0092754	-144.207181190617	-37.811369609383	0.000661367601670015	cc	2	chao	0.0185455050261546
ther-ctrl6	-78.6430202	-131.840925990617	-25.445114409383	0.00296219835414102	cc	2	chao	0.0444329753121153
ther-sub6	12.3662552	-40.831650590617	65.5641609906169	0.833783896086163	cc	2	chao	0.999999984904248
sub-ctrl7	-91.9906940999999	-144.370547978006	-39.6108402219943	0.000490999016911298	cc	2	ace	0.0162997546597587
ther-ctrl7	-76.1596408999999	-128.539494778006	-23.7797870219943	0.00345439935833614	cc	2	ace	0.0497433507600403
ther-sub7	15.8310532	-36.5488006780057	68.2109070780056	0.736586023430854	cc	2	ace	0.999999984904248
sub-ctrl8	-8.7996506	-19.05040505199	1.45110385199004	0.102865246536914	cc	2	invsimpson	0.328467498052818
ther-ctrl8	-5.2698938	-15.52064825199	4.98086065199004	0.421273855690835	cc	2	invsimpson	0.806694617280322
ther-sub8	3.52975679999999	-6.72099765199005	13.78051125199	0.673419961765277	cc	2	invsimpson	0.999999984904248
sub-ctrl9	-0.628437299999999	-1.27037791117462	0.0135033111746198	0.0558952416497656	cc	2	shannon	0.259507522672847
ther-ctrl9	-0.277831299999999	-0.919771911174618	0.364109311174619	0.538535953096879	cc	2	shannon	0.918829114288513
ther-sub9	0.350606	-0.291334611174619	0.992546611174618	0.378554089377638	cc	2	shannon	0.761337833385194
sub-ctrl10	-64.1333333333334	-105.89307904112	-22.3735876255467	0.00216019157938263	cc	35	sobs	0.0396388102517047
ther-ctrl10	-77.1333333333334	-118.89307904112	-35.3735876255467	0.000299383741856785	cc	35	sobs	0.0162997546597587
ther-sub10	-13	-55.8445950847701	29.8445950847701	0.732987815268108	cc	35	sobs	0.999999984904248
sub-ctrl11	-68.3284081555556	-113.312456501806	-23.3443598093047	0.00239961746683814	cc	35	chao	0.0396388102517047
ther-ctrl11	-80.5186947111111	-125.502743057362	-35.5346463648602	0.000431499103432653	cc	35	chao	0.0162997546597587
ther-sub11	-12.1902865555555	-58.3429463479609	33.9623732368498	0.789654585235088	cc	35	chao	0.999999984904248
sub-ctrl12	-65.2585727	-108.496040899947	-22.021104500053	0.00254833365912965	cc	35	ace	0.0398869616211598
ther-ctrl12	-78.8220351444444	-122.059503344392	-35.5845669444974	0.000349254158197088	cc	35	ace	0.0162997546597587
ther-sub12	-13.5634624444444	-57.9241688165603	30.7972439276715	0.729531257085258	cc	35	ace	0.999999984904248
sub-ctrl13	-2.03361948888889	-10.9660910395781	6.8988520618003	0.838682628528539	cc	35	invsimpson	0.999999984904248
ther-ctrl13	-1.28534637777778	-10.217817928467	7.64712517291141	0.931828824449443	cc	35	invsimpson	0.999999984904248
ther-sub13	0.748273111111111	-8.4162493305125	9.91279555273472	0.977477035785625	cc	35	invsimpson	0.999999984904248
sub-ctrl14	-0.24626581111111	-0.540404455749826	0.0478728335276062	0.113310302146125	cc	35	shannon	0.351652661832803
ther-ctrl14	-0.274241033333332	-0.568379677972048	0.0198976113053841	0.0710025542644025	cc	35	shannon	0.274848597152526
ther-sub14	-0.027975222222222	-0.329755104133213	0.273804659688769	0.971070317402509	cc	35	shannon	0.999999984904248
sub-ctrl15	-64	-98.7884949569304	-29.2115050430695	0.000313878774161447	cc	42	sobs	0.0162997546597587
ther-ctrl15	-95.3333333333333	-130.121828290264	-60.5448383764028	1.09444781548618e-06	cc	42	sobs	0.000174124505800677
ther-sub15	-31.3333333333333	-67.0255760607675	4.3589093941009	0.0931622254671939	cc	42	sobs	0.307691753836604
